City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Atar,MR,2022-10-25 22:47:46,20.5169,-13.0499,87.94,12,99,4.9
67,Sault Sainte Marie,CA,2022-10-25 22:47:39,46.5168,-84.3333,55.69,100,100,5.75
68,Longyearbyen,SJ,2022-10-25 22:47:47,78.2186,15.6401,13.84,79,20,9.22
69,Khatanga,RU,2022-10-25 22:47:47,71.9667,102.5,1.35,99,87,6.33
70,Kaitangata,NZ,2022-10-25 22:47:48,-46.2817,169.8464,56.66,58,100,5.3
71,Quatre Cocos,MU,2022-10-25 22:47:48,-20.2078,57.7625,73.09,79,20,12.3
72,Tuatapere,NZ,2022-10-25 22:47:48,-46.1333,167.6833,52.83,83,100,3.15
73,Saint-Joseph,RE,2022-10-25 22:47:49,-21.3667,55.6167,68.38,75,20,10.07
74,Busselton,AU,2022-10-25 22:47:49,-33.65,115.3333,55.72,86,78,7.49
75,Milyutinskaya,RU,2022-10-25 22:47:50,48.6279,41.6679,47.44,77,100,6.91
76,Bredasdorp,ZA,2022-10-25 22:47:50,-34.5322,20.0403,60.78,74,100,7.85
77,Isangel,VU,2022-10-25 22:47:50,-19.55,169.2667,80.71,78,75,5.75
78,Xinzhi,CN,2022-10-25 22:47:51,36.4989,111.7047,58.12,55,100,2.62
79,Chhibramau,IN,2022-10-25 22:47:51,27.1483,79.4979,69.33,42,0,0.96
80,Lavrentiya,RU,2022-10-25 22:47:52,65.5833,-171.0,27.28,74,90,13.0
81,Nikolskoye,RU,2022-10-25 22:47:52,59.7035,30.7861,35.49,92,100,7.58
82,Clyde River,CA,2022-10-25 22:47:53,70.4692,-68.5914,5.23,66,0,4.61
83,Sept-Iles,CA,2022-10-25 22:47:53,50.2001,-66.3821,48.72,92,100,1.14
84,Jamestown,US,2022-10-25 22:47:54,42.097,-79.2353,69.44,49,0,5.75
85,Tual,ID,2022-10-25 22:47:54,-5.6667,132.75,82.72,73,94,5.23
86,Port-Gentil,GA,2022-10-25 22:46:46,-0.7193,8.7815,78.76,94,40,9.22
87,Butaritari,KI,2022-10-25 22:47:55,3.0707,172.7902,81.52,75,61,3.74
88,Qaanaaq,GL,2022-10-25 22:47:55,77.484,-69.3632,21.92,96,100,2.26
89,Tuktoyaktuk,CA,2022-10-25 22:47:56,69.4541,-133.0374,12.2,85,75,6.91
90,Novikovo,RU,2022-10-25 22:48:56,51.1537,37.8879,47.68,91,100,8.93
91,Henties Bay,NA,2022-10-25 22:48:57,-22.116,14.2845,57.52,95,82,2.13
92,Muros,ES,2022-10-25 22:48:57,42.7762,-9.0603,67.08,78,26,19.64
93,Cabedelo,BR,2022-10-25 22:48:58,-6.9811,-34.8339,79.47,74,80,11.81
94,Grindavik,IS,2022-10-25 22:48:58,63.8424,-22.4338,49.95,87,75,12.66
95,Ostrovnoy,RU,2022-10-25 22:48:58,68.0531,39.5131,31.06,89,91,17.92
96,Saint George,US,2022-10-25 22:46:32,37.1041,-113.5841,68.43,23,0,3.0
97,Broome,US,2022-10-25 22:48:59,42.2506,-75.833,67.32,83,0,4.61
98,Mar Del Plata,AR,2022-10-25 22:48:59,-38.0023,-57.5575,68.09,85,0,11.01
99,Ayan,RU,2022-10-25 22:49:00,56.45,138.1667,34.56,56,100,7.34
100,Saint-Philippe,RE,2022-10-25 22:49:00,-21.3585,55.7679,69.39,79,38,13.71
101,Karpushikha,RU,2022-10-25 22:49:01,57.5017,59.8956,25.72,93,45,3.76
102,Norman Wells,CA,2022-10-25 22:49:01,65.282,-126.8329,19.44,93,75,4.61
103,New Norfolk,AU,2022-10-25 22:49:01,-42.7826,147.0587,54.91,84,100,5.99
104,Upernavik,GL,2022-10-25 22:49:02,72.7868,-56.1549,22.91,94,100,9.8
105,Taoudenni,ML,2022-10-25 22:49:02,22.6783,-3.9836,81.19,13,69,10.51
106,Margate,GB,2022-10-25 22:44:34,51.3813,1.3862,61.9,85,100,3.0
107,Butembo,CD,2022-10-25 22:49:03,0.15,29.2833,56.73,93,98,2.59
108,East London,ZA,2022-10-25 22:49:03,-33.0153,27.9116,64.02,69,100,10.09
109,Porto Novo,BJ,2022-10-25 22:49:03,6.4965,2.6036,76.82,85,95,5.1
110,Sorland,NO,2022-10-25 22:49:04,67.667,12.6934,44.46,65,100,0.69
111,Wasilla,US,2022-10-25 22:49:04,61.5814,-149.4394,32.74,62,100,5.01
112,Talnakh,RU,2022-10-25 22:49:05,69.4865,88.3972,7.05,97,95,2.3
113,Homa Bay,KE,2022-10-25 22:49:05,-0.5273,34.4571,68.72,61,85,4.32
114,Souillac,MU,2022-10-25 22:49:06,-20.5167,57.5167,71.98,78,40,9.22
115,Puerto Carreno,CO,2022-10-25 22:49:06,6.189,-67.4859,89.58,58,20,3.44
116,Goure,NE,2022-10-25 22:49:06,13.9835,10.2704,78.08,24,10,5.84
117,Meadow Lake,US,2022-10-25 22:49:07,34.8014,-106.5436,62.46,24,0,2.68
118,Padang,ID,2022-10-25 22:49:07,-0.9492,100.3543,75.87,91,100,3.6
119,Saint Anthony,US,2022-10-25 22:49:07,45.0205,-93.218,50.54,59,0,11.5
120,Narsaq,GL,2022-10-25 22:49:08,60.9167,-46.05,26.82,71,0,7.23
121,High Level,CA,2022-10-25 22:45:26,58.5169,-117.136,30.31,93,100,4.61
122,Anadyr,RU,2022-10-25 22:48:03,64.75,177.4833,7.3,92,75,8.95
123,Kruisfontein,ZA,2022-10-25 22:49:09,-34.0033,24.7314,60.89,77,100,9.95
124,Yellowknife,CA,2022-10-25 22:49:09,62.456,-114.3525,23.56,86,75,11.5
125,Tiksi,RU,2022-10-25 22:49:09,71.6872,128.8694,18.52,91,100,13.0
126,Dongying,CN,2022-10-25 22:49:10,37.4564,118.4856,58.32,58,100,9.24
127,Chicama,PE,2022-10-25 22:49:10,-7.8447,-79.1469,61.34,73,100,7.72
128,Garden City,US,2022-10-25 22:45:28,42.3256,-83.331,71.85,59,75,9.22
129,Sunndalsora,NO,2022-10-25 22:49:11,62.6754,8.5515,49.26,89,100,3.62
130,Xique-Xique,BR,2022-10-25 22:49:11,-10.8218,-42.7263,75.88,76,100,4.79
131,Aklavik,CA,2022-10-25 22:49:11,68.2191,-135.0107,14.0,85,75,2.3
132,Mezen,RU,2022-10-25 22:49:12,65.8522,44.24,29.21,92,28,5.39
133,Matay,EG,2022-10-25 22:49:12,28.419,30.7792,68.36,70,10,6.42
134,Haines Junction,CA,2022-10-25 22:49:13,60.7522,-137.5108,24.75,54,6,6.91
135,Murchison,NZ,2022-10-25 22:50:13,-41.8,172.3333,51.84,94,99,2.06
136,Ishinomaki,JP,2022-10-25 22:50:14,38.4167,141.3,48.2,67,79,12.08
