City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Abha,SA,18.2164,42.5053,57.38,84,17,2.44,few clouds
81,Lago Da Pedra,BR,-4.3333,-45.1667,79.84,62,84,6.26,broken clouds
82,Egvekinot,RU,66.3167,-179.1667,11.05,80,100,13.04,overcast clouds
83,Kapaa,US,22.0752,-159.319,87.78,70,7,7.0,clear sky
84,Iralaya,HN,15.0,-83.2333,79.84,76,19,5.68,few clouds
85,Massaguet,TD,12.4755,15.4365,81.72,18,97,10.36,overcast clouds
86,Praia,CV,14.9215,-23.5087,78.73,76,100,10.92,overcast clouds
87,Upernavik,GL,72.7868,-56.1549,20.43,70,99,24.81,overcast clouds
88,Shuya,RU,56.8487,41.3883,41.88,98,100,7.61,overcast clouds
89,Dvinskoy,RU,62.1535,45.1175,39.63,99,100,4.56,overcast clouds
90,Saskylakh,RU,71.9167,114.0833,-0.44,94,64,8.19,broken clouds
91,Saint George,US,37.1041,-113.5841,68.95,17,0,4.61,clear sky
92,Subaan,PH,13.0765,121.3647,76.51,94,100,21.05,heavy intensity rain
93,Yulara,AU,-25.2406,130.9889,76.01,50,74,16.49,broken clouds
94,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,17.27,broken clouds
95,Avarua,CK,-21.2078,-159.775,77.05,69,75,19.57,broken clouds
96,Deputatskiy,RU,69.3,139.9,0.18,93,100,3.85,overcast clouds
97,Klyuchi,RU,52.2667,79.1667,24.49,71,57,8.66,broken clouds
98,Solton,RU,52.8429,86.4787,26.69,85,15,6.17,few clouds
99,Esperance,AU,-33.8667,121.9,60.26,64,38,14.27,scattered clouds
100,Biharamulo,TZ,-2.6319,31.3089,63.37,71,73,2.17,broken clouds
101,Katangli,RU,51.7102,143.2326,35.42,68,7,5.64,clear sky
102,Manggar,ID,-2.8833,108.2667,80.15,80,91,4.41,overcast clouds
103,Kodiak,US,57.79,-152.4072,34.95,57,85,14.99,overcast clouds
104,Manono,CD,-7.3,27.4167,71.49,91,99,1.21,light rain
105,Salalah,OM,17.0151,54.0924,74.12,65,0,2.51,clear sky
106,Port Alfred,ZA,-33.5906,26.891,62.19,86,98,5.01,overcast clouds
107,Staryy Nadym,RU,65.6118,72.6842,18.73,86,23,15.93,few clouds
108,Ponta Do Sol,PT,32.6667,-17.1,72.01,82,16,5.53,few clouds
109,San Cristobal,VE,7.7669,-72.225,66.96,95,59,2.91,broken clouds
110,Zhanaozen,KZ,43.3,52.8,47.7,87,85,5.57,overcast clouds
111,Almaznyy,RU,48.0448,40.045,41.4,83,100,5.21,overcast clouds
112,Antalaha,MG,-14.9003,50.2788,67.66,86,7,4.43,clear sky
113,Casablanca,MA,33.5928,-7.6192,75.33,27,43,5.99,scattered clouds
114,Mae Ramat,TH,16.984,98.5166,72.46,93,26,2.08,scattered clouds
115,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,85,11.65,light rain
116,Castro,BR,-24.7911,-50.0119,65.41,80,30,2.95,scattered clouds
117,Ancud,CL,-41.8697,-73.8203,47.46,84,100,12.53,light rain
118,Gunjur,GM,13.2019,-16.7339,81.45,78,100,10.51,overcast clouds
119,Rundu,NA,-17.9333,19.7667,72.81,58,98,5.26,overcast clouds
