,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
116,Castro,BR,65.41,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
117,Ancud,CL,47.46,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
121,Kaoma,ZM,69.17,broken clouds,-14.7833,24.8,KAOMA AIRPORT
122,Ulaangom,MN,29.1,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
123,Bluff,NZ,60.78,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
126,Aksu,CN,47.97,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
127,Marondera,ZW,57.67,few clouds,-18.1853,31.5519,Mashonganyika Cottage
129,Katsuura,JP,64.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
130,San Carlos De Bariloche,AR,42.03,broken clouds,-41.1456,-71.3082,Hotel Patagonia
131,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
132,Flinders,AU,70.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
133,Wilmington,US,60.91,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
134,Tsiroanomandidy,MG,68.81,scattered clouds,-18.7667,46.0333,Hotel Ravinala
139,Temir,KZ,34.99,overcast clouds,49.1414,57.13,
140,Bethel,US,48.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
141,Sorland,NO,44.46,light rain,67.667,12.6934,Sjybrygga fiskecamp
143,Nikolskoye,RU,51.69,moderate rain,59.7035,30.7861,Tourist House - Sablino
146,Civita Castellana,IT,65.8,clear sky,42.2952,12.4092,Palace Hotel Relais Falisco
147,Hazorasp,UZ,46.24,few clouds,41.3194,61.0742,Kemping wifi hotel
148,Sitka,US,40.64,light rain,57.0531,-135.33,Westmark Sitka
149,Pangnirtung,CA,20.79,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
150,Orlik,RU,25.45,light snow,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
153,Banda,IN,69.08,clear sky,25.4833,80.3333,Hotel Comfort-Inn
156,Luau,AO,66.22,moderate rain,-10.7073,22.2247,Kimbo Hotel
159,Cap Malheureux,MU,72.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
160,Fort Nelson,CA,30.81,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
161,Nemuro,JP,55.08,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
165,Hermanus,ZA,61.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
167,Igarka,RU,22.62,light snow,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
168,Kyra,RU,29.53,overcast clouds,49.5776,111.9753,
169,Saravan,AM,40.46,scattered clouds,39.7196,45.6483,
170,Carnarvon,AU,68.04,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
171,Pachino,IT,67.15,clear sky,36.7186,15.0907,Il Veliero
172,Manakara,MG,70.25,broken clouds,-22.1333,48.0167,La Residence Manakara
